"EVTYPE","STATE","total_f","total_i"
"RIP CURRENTS","DE",3,36
"SNOW AND ICE","KY",3,0
"STRONG WIND","HI",3,20
"STRONG WIND","MI",3,0
"STRONG WIND","MN",3,13
"STRONG WIND","NY",3,18
"STRONG WINDS","ME",3,3
"THUNDERSTORM WIND","IA",3,31
"THUNDERSTORM WIND","MO",3,57
"THUNDERSTORM WIND","MT",3,4
"THUNDERSTORM WIND","VA",3,28
"THUNDERSTORM WINDS","MI",3,9
"TORNADO","AZ",3,147
"TORNADO","WV",3,114
"TSTM WIND","CT",3,31
"TSTM WIND","ND",3,47
"TSTM WIND","VT",3,24
"URBAN/SML STREAM FLD","CO",3,1
"URBAN/SML STREAM FLD","IL",3,0
"WATERSPOUT/TORNADO","LA",3,39
"WILD FIRES","CA",3,150
"WILDFIRE","ID",3,0
"WIND","CT",3,2
"WIND","ID",3,1
"WINTER STORM","ID",3,13
"WINTER STORM","MT",3,1
"WINTER STORM","OH",3,56
"WINTER STORM","TN",3,20
"WINTER STORM","VA",3,11
"WINTER WEATHER","MT",3,1
"BLIZZARD","MD",2,150
"Coastal Flooding","PR",2,0
"COASTAL STORM","CT",2,0
"Cold","SC",2,0
"COLD","AL",2,0
"COLD","MO",2,6
"COLD","ND",2,0
"Cold Temperature","WI",2,0
"COLD WEATHER","DC",2,0
"COLD/WIND CHILL","AR",2,0
"COLD/WIND CHILL","AZ",2,1
"COLD/WIND CHILL","LA",2,0
"COLD/WIND CHILL","TX",2,0
"DROUGHT/EXCESSIVE HEAT","VA",2,0
"DRY MICROBURST","UT",2,0
"DUST STORM","NE",2,17
"EXCESSIVE HEAT","FL",2,10
"EXCESSIVE HEAT","IA",2,22
"EXCESSIVE RAINFALL","TX",2,21
"EXTREME COLD","AK",2,1
"EXTREME COLD","AR",2,0
"EXTREME COLD","FL",2,0
"EXTREME COLD","MO",2,15
"EXTREME COLD","NY",2,0
"EXTREME COLD","WA",2,0
"EXTREME COLD/WIND CHILL","MS",2,0
"EXTREME COLD/WIND CHILL","MT",2,0
"EXTREME COLD/WIND CHILL","ND",2,2
"EXTREME COLD/WIND CHILL","TN",2,0
"EXTREME COLD/WIND CHILL","WI",2,0
"EXTREME WINDCHILL","IL",2,1
"EXTREME WINDCHILL","MT",2,0
"EXTREME WINDCHILL","SD",2,2
"EXTREME WINDCHILL","WI",2,0
"FLASH FLOOD","ID",2,1
"FLASH FLOOD","ND",2,0
"FLASH FLOOD","SD",2,4
"FLASH FLOOD","WA",2,2
"FLASH FLOODING","IL",2,1
"FLASH FLOODS","PR",2,0
"FLOOD","MA",2,5
"FLOOD","NM",2,0
"FLOOD","NV",2,50
"FLOOD","SC",2,1
"FLOOD","SD",2,0
"FLOOD/FLASH FLOOD","PA",2,14
"FLOODING","AL",2,0
"FLOODING","CA",2,1
"FOG","NY",2,14
"FOG","SD",2,3
"FREEZING DRIZZLE","ND",2,13
"FREEZING RAIN","ME",2,0
"FREEZING RAIN","PA",2,0
"FREEZING RAIN","WA",2,21
"GUSTY WINDS","NC",2,0
"HAIL","NM",2,40
"HAIL","NV",2,3
"HEAT","DC",2,0
"HEAT","KY",2,9
"HEAT","MS",2,0
"HEAT","RI",2,0
"HEAT WAVE","MN",2,0
"HEAVY RAIN","AR",2,1
"HEAVY RAIN","CO",2,2
"HEAVY RAIN","CT",2,0
"HEAVY RAIN","HI",2,0
"HEAVY RAIN","MO",2,0
"HEAVY RAIN","PA",2,4
"HEAVY SEAS","VA",2,0
"HEAVY SNOW","OR",2,22
"HEAVY SNOW AND HIGH WINDS","NV",2,0
"HEAVY SURF/HIGH SURF","OR",2,1
"HIGH SEAS","PR",2,5
"HIGH SURF","RI",2,0
"HIGH SURF","TX",2,2
"HIGH WATER","WV",2,0
"HIGH WIND","IA",2,14
"HIGH WIND","MS",2,5
"HIGH WIND","NE",2,20
"HIGH WIND","NH",2,3
"HIGH WIND","NJ",2,32
"HIGH WIND","WY",2,17
"HIGH WINDS","KY",2,0
"HIGH WINDS","NC",2,11
"HIGH WINDS","TX",2,10
"HURRICANE","AL",2,0
"HURRICANE","GU",2,1
"HURRICANE OPAL/HIGH WINDS","AL",2,0
"HURRICANE/TYPHOON","NC",2,8
"ICE","KY",2,0
"ICE STORM","CA",2,0
"ICE STORM","CT",2,3
"ICE STORM","MT",2,0
"ICE STORM","NY",2,0
"ICE STORM","OH",2,1652
"ICE STORM","OR",2,33
"ICE STORM","WA",2,5
"ICY ROADS","NE",2,15
"ICY ROADS","WY",2,7
"LANDSLIDE","PR",2,3
"LIGHTNING","GU",2,0
"LIGHTNING","NV",2,20
"MARINE STRONG WIND","LM",2,1
"MARINE THUNDERSTORM WIND","LM",2,1
"MIXED PRECIP","NY",2,26
"RECORD HEAT","MA",2,0
"RIP CURRENTS","CT",2,0
"RIP CURRENTS","IN",2,0
"RIP CURRENTS","MI",2,0
"RIP CURRENTS","VI",2,1
"ROUGH SEAS","CA",2,5
"ROUGH SURF","CA",2,0
"ROUGH SURF","NJ",2,1
"SLEET","AZ",2,0
"SNOW","OH",2,7
"SNOW SQUALL","MA",2,21
"STORM SURGE","CA",2,32
"STRONG WIND","FL",2,5
"STRONG WIND","IN",2,0
"STRONG WIND","LA",2,2
"STRONG WIND","NE",2,3
"STRONG WIND","NH",2,2
"STRONG WIND","NV",2,9
"STRONG WIND","OH",2,0
"STRONG WINDS","NH",2,12
"THUNDERSTORM WIND","CO",2,9
"THUNDERSTORM WIND","ID",2,74
"THUNDERSTORM WIND","KS",2,59
"THUNDERSTORM WIND","KY",2,28
"THUNDERSTORM WIND","NY",2,45
"THUNDERSTORM WIND","WA",2,0
"THUNDERSTORM WIND","WV",2,5
"THUNDERSTORM WINDS","IL",2,26
"THUNDERSTORM WINDS","PA",2,21
"THUNDERSTORM WINDS","TX",2,101
"TORNADO","DE",2,73
"TROPICAL STORM","GU",2,0
"TROPICAL STORM","PA",2,0
"TSTM WIND","DC",2,15
"TSTM WIND","ME",2,6
"TSTM WIND","NM",2,28
"TSTM WIND","UT",2,18
"TSTM WIND/HAIL","CA",2,10
"TSTM WIND/HAIL","FL",2,8
"UNSEASONABLY COLD","PA",2,0
"URBAN/SML STREAM FLD","IA",2,0
"URBAN/SML STREAM FLD","NY",2,21
"WATERSPOUT","LA",2,0
"WIND","FL",2,0
"WIND","PA",2,3
"WINTER STORM","AK",2,0
"WINTER STORM","CO",2,6
"WINTER STORM","MN",2,1
"WINTER STORM","MO",2,0
"WINTER STORM","NJ",2,27
"WINTER STORM","VT",2,6
"WINTER WEATHER","CT",2,47
"WINTER WEATHER","NJ",2,8
"WINTER WEATHER/MIX","KS",2,8
"WINTER WEATHER/MIX","MD",2,0
"WINTER WEATHER/MIX","VT",2,0
"AVALANCE","MT",1,0
