"EVTYPE","STATE","total_f","total_i"
"HEAVY SNOW","NE",0,0
"HEAVY SNOW","RI",0,0
"HEAVY SNOW","SC",0,0
"HEAVY SNOW","TN",0,0
"HEAVY SNOW   FREEZING RAIN","ND",0,0
"HEAVY SNOW & ICE","OK",0,0
"HEAVY SNOW AND","WI",0,0
"HEAVY SNOW AND ICE","MN",0,0
"HEAVY SNOW AND ICE STORM","ME",0,0
"HEAVY SNOW AND ICE STORM","NH",0,0
"HEAVY SNOW AND STRONG WINDS","SD",0,0
"HEAVY SNOW ANDBLOWING SNOW","MN",0,0
"Heavy snow shower","NV",0,2
"HEAVY SNOW SQUALLS","MA",0,0
"HEAVY SNOW SQUALLS","NY",0,0
"HEAVY SNOW SQUALLS","PA",0,0
"HEAVY SNOW-SQUALLS","NY",0,0
"HEAVY SNOW/BLIZZARD","KS",0,0
"HEAVY SNOW/BLIZZARD","ND",0,0
"HEAVY SNOW/BLIZZARD/AVALANCHE","PA",0,1
"HEAVY SNOW/BLOWING SNOW","IN",0,0
"HEAVY SNOW/FREEZING RAIN","MI",0,0
"HEAVY SNOW/HIGH","AK",0,0
"HEAVY SNOW/HIGH WIND","HI",0,0
"HEAVY SNOW/HIGH WINDS","CO",0,0
"HEAVY SNOW/HIGH WINDS & FLOOD","NV",0,0
"HEAVY SNOW/HIGH WINDS/FREEZING","AK",0,0
"HEAVY SNOW/ICE","MN",0,0
"HEAVY SNOW/ICE","OH",0,0
"HEAVY SNOW/ICE","SD",0,10
"HEAVY SNOW/ICE STORM","ME",0,0
"HEAVY SNOW/ICE STORM","WI",0,0
"HEAVY SNOW/SLEET","MD",0,0
"HEAVY SNOW/SQUALLS","NY",0,0
"HEAVY SNOW/WIND","AK",0,0
"HEAVY SNOW/WINTER STORM","MT",0,0
"HEAVY SNOWPACK","CA",0,0
"HEAVY SURF","AL",0,0
"HEAVY SURF","FL",0,0
"HEAVY SURF","PR",0,0
"HEAVY SURF","VI",0,0
"HEAVY SURF COASTAL FLOODING","CA",0,0
"HEAVY SURF/HIGH SURF","AK",0,0
"HEAVY SURF/HIGH SURF","AL",0,0
"HEAVY SURF/HIGH SURF","AS",0,6
"HEAVY SURF/HIGH SURF","DE",0,3
"HEAVY SURF/HIGH SURF","GA",0,0
"HEAVY SURF/HIGH SURF","ME",0,0
"HEAVY SURF/HIGH SURF","SC",0,0
"HEAVY SURF/HIGH SURF","TX",0,0
"HEAVY SURF/HIGH SURF","WA",0,0
"HEAVY SWELLS","PR",0,0
"HEAVY WET SNOW","MI",0,0
"HIGH","CA",0,1
"HIGH  SWELLS","VI",0,0
"HIGH  WINDS","IL",0,0
"HIGH SURF","AK",0,0
"HIGH SURF","AL",0,0
"HIGH SURF","AS",0,0
"HIGH SURF","DE",0,63
"HIGH SURF","GA",0,0
"HIGH SURF","MH",0,1
"HIGH SURF","NH",0,0
"HIGH SURF","VA",0,0
"HIGH SURF ADVISORIES","AS",0,0
"HIGH SURF ADVISORY","AS",0,0
"HIGH SWELLS","VI",0,0
"HIGH TEMPERATURE RECORD","AK",0,0
"HIGH TIDES","AK",0,0
"HIGH WATER","PA",0,0
"HIGH WAVES","MA",0,0
"High Wind","AZ",0,0
"High Wind","CA",0,0
"HIGH WIND","AK",0,17
"HIGH WIND","AS",0,0
"HIGH WIND","DC",0,0
"HIGH WIND","DE",0,1
"HIGH WIND","GA",0,4
"HIGH WIND","GU",0,3
"HIGH WIND","ID",0,21
"HIGH WIND","MD",0,14
"HIGH WIND","ME",0,2
"HIGH WIND","MN",0,4
"HIGH WIND","MO",0,2
"HIGH WIND","OK",0,5
"HIGH WIND","PR",0,0
"HIGH WIND","RI",0,5
"HIGH WIND","SD",0,7
"HIGH WIND","VI",0,0
"HIGH WIND (G40)","FL",0,0
"HIGH WIND 48","WI",0,1
"HIGH WIND 63","ME",0,0
"HIGH WIND 70","NH",0,0
"HIGH WIND AND HEAVY SNOW","AK",0,0
"HIGH WIND AND HIGH TIDES","AK",0,0
"HIGH WIND DAMAGE","CA",0,0
"HIGH WIND/ BLIZZARD","AK",0,0
"HIGH WIND/BLIZZARD","AK",0,0
"HIGH WIND/BLIZZARD","OR",0,0
"HIGH WIND/BLIZZARD/FREEZING RA","AK",0,0
"HIGH WIND/HEAVY SNOW","AK",0,0
"HIGH WIND/HEAVY SNOW","OR",0,1
"HIGH WIND/LOW WIND CHILL","AK",0,0
"HIGH WIND/WIND CHILL","AK",0,0
"HIGH WIND/WIND CHILL/BLIZZARD","AK",0,0
"HIGH WINDS","AK",0,1
"HIGH WINDS","AL",0,0
"HIGH WINDS","AR",0,2
"HIGH WINDS","AZ",0,1
"HIGH WINDS","CO",0,3
"HIGH WINDS","CT",0,0
"HIGH WINDS","DC",0,0
"HIGH WINDS","DE",0,0
"HIGH WINDS","HI",0,0
"HIGH WINDS","IA",0,3
"HIGH WINDS","ID",0,4
"HIGH WINDS","IL",0,1
"HIGH WINDS","IN",0,0
"HIGH WINDS","KS",0,4
"HIGH WINDS","LA",0,0
"HIGH WINDS","MA",0,3
"HIGH WINDS","MD",0,4
"HIGH WINDS","ME",0,10
"HIGH WINDS","MI",0,1
"HIGH WINDS","MO",0,7
"HIGH WINDS","MS",0,0
"HIGH WINDS","MT",0,2
"HIGH WINDS","ND",0,1
"HIGH WINDS","NH",0,4
"HIGH WINDS","NM",0,13
"HIGH WINDS","NV",0,3
"HIGH WINDS","OK",0,0
"HIGH WINDS","OR",0,0
"HIGH WINDS","RI",0,0
"HIGH WINDS","SC",0,4
"HIGH WINDS","SD",0,0
"HIGH WINDS","TN",0,4
"HIGH WINDS","UT",0,10
"HIGH WINDS","VI",0,0
"HIGH WINDS","WI",0,9
"HIGH WINDS","WV",0,1
"HIGH WINDS","WY",0,1
"HIGH WINDS 55","CO",0,0
"HIGH WINDS 57","CO",0,0
"HIGH WINDS 58","CO",0,0
"HIGH WINDS 63","CO",0,0
"HIGH WINDS 66","CO",0,0
"HIGH WINDS 67","CO",0,0
"HIGH WINDS 73","CO",0,0
"HIGH WINDS 76","CO",0,0
"HIGH WINDS 80","CO",0,0
"HIGH WINDS 82","CO",0,0
"HIGH WINDS AND WIND CHILL","AK",0,0
"HIGH WINDS DUST STORM","CA",0,0
"HIGH WINDS HEAVY RAINS","AK",0,0
"HIGH WINDS/","ID",0,0
"HIGH WINDS/COASTAL FLOOD","MD",0,0
"HIGH WINDS/COLD","SC",0,4
"HIGH WINDS/FLOODING","DE",0,0
"HIGH WINDS/HEAVY RAIN","AK",0,0
"HIGHWAY FLOODING","SC",0,0
"Hot and Dry","GA",0,0
"Hot and Dry","SC",0,0
"HOT PATTERN","WV",0,0
"HOT SPELL","DE",0,0
"HOT SPELL","MD",0,0
"HOT WEATHER","PA",0,0
"HOT/DRY PATTERN","WV",0,0
"HURRICANE","AS",0,0
"HURRICANE","DE",0,0
"HURRICANE","GA",0,0
"HURRICANE","HI",0,0
"HURRICANE","MD",0,0
"HURRICANE","MS",0,0
"HURRICANE","NJ",0,0
"HURRICANE","NV",0,0
"HURRICANE","VI",0,0
"Hurricane Edouard","ME",0,2
"Hurricane Edouard","NH",0,0
"HURRICANE EMILY","NC",0,1
"HURRICANE ERIN","AL",0,0
"HURRICANE ERIN","MS",0,0
"HURRICANE FELIX","VA",0,0
"HURRICANE GORDON","NC",0,0
"HURRICANE OPAL","AL",0,0
"HURRICANE OPAL","GA",0,0
"HURRICANE OPAL","LA",0,0
"HURRICANE OPAL","MS",0,1
"HURRICANE-GENERATED SWELLS","ME",0,2
"HURRICANE/TYPHOON","AL",0,0
"HURRICANE/TYPHOON","AR",0,0
"HURRICANE/TYPHOON","AS",0,20
"HURRICANE/TYPHOON","GA",0,0
"HURRICANE/TYPHOON","SC",0,3
"HVY RAIN","NE",0,0
"ICE","CA",0,0
"ICE","MI",0,0
"ICE","NC",0,0
"ICE","NY",0,0
"ICE","OH",0,0
"ICE","OK",0,0
"ICE","PA",0,65
"ICE","SD",0,0
"ICE","TN",0,0
"ICE","TX",0,0
"ICE","VA",0,0
"ICE","WV",0,0
"ICE AND SNOW","OH",0,0
"ICE FLOES","MA",0,0
"Ice Fog","LA",0,0
"Ice Fog","TX",0,0
"ICE JAM","IL",0,0
"ICE JAM","MO",0,0
"ICE JAM","MT",0,0
"Ice jam flood (minor","AK",0,0
"ICE JAM FLOODING","IA",0,0
"ICE JAM FLOODING","MT",0,0
"ICE JAM FLOODING","SD",0,0
"ICE PELLETS","NC",0,0
"ICE ROADS","WY",0,1
"ICE STORM","CO",0,0
"ICE STORM","DC",0,0
"ICE STORM","DE",0,0
"ICE STORM","GA",0,6
"ICE STORM","HI",0,0
"ICE STORM","ID",0,0
"ICE STORM","IL",0,2
"ICE STORM","IN",0,2
"ICE STORM","MA",0,2
"ICE STORM","MD",0,0
"ICE STORM","MN",0,1
"ICE STORM","MO",0,0
"ICE STORM","MS",0,0
"ICE STORM","ND",0,0
"ICE STORM","NH",0,1
"ICE STORM","NJ",0,0
"ICE STORM","NM",0,0
"ICE STORM","OK",0,0
"ICE STORM","PA",0,40
"ICE STORM","RI",0,0
"ICE STORM","UT",0,0
"ICE STORM","VA",0,2
"ICE STORM","VT",0,1
"ICE STORM","WI",0,15
"ICE STORM","WY",0,0
"ICE STORM AND SNOW","MN",0,0
"ICE STORM/FLASH FLOOD","AL",0,2
"Ice/Snow","MN",0,0
"Ice/Snow","WI",0,0
"ICE/SNOW","KS",0,0
"ICE/SNOW","OK",0,0
"ICE/SNOW","TX",0,0
"ICE/STRONG WINDS","SD",0,0
"Icestorm/Blizzard","SD",0,0
"Icy Roads","GA",0,0
"Icy Roads","NC",0,0
"Icy Roads","SC",0,0
"ICY ROADS","NC",0,0
"ICY ROADS","PA",0,2
"ICY ROADS","SC",0,0
"LACK OF SNOW","NY",0,0
"Lake Effect Snow","NY",0,0
"LAKE EFFECT SNOW","MI",0,0
"LAKE EFFECT SNOW","NY",0,0
"LAKE FLOOD","KY",0,0
"LAKE-EFFECT SNOW","IL",0,0
"LAKE-EFFECT SNOW","IN",0,0
"LAKE-EFFECT SNOW","MI",0,0
"LAKE-EFFECT SNOW","MN",0,0
"LAKE-EFFECT SNOW","NY",0,0
"LAKE-EFFECT SNOW","OH",0,0
"LAKE-EFFECT SNOW","PA",0,0
"LAKE-EFFECT SNOW","UT",0,0
"LAKE-EFFECT SNOW","WI",0,0
"LAKESHORE FLOOD","MN",0,0
"LAKESHORE FLOOD","NY",0,0
"LAKESHORE FLOOD","PA",0,0
"LAKESHORE FLOOD","SD",0,0
"LAKESHORE FLOOD","VT",0,0
"LANDSLIDE","AK",0,0
"LANDSLIDE","AL",0,0
"LANDSLIDE","AR",0,0
"LANDSLIDE","AS",0,0
"LANDSLIDE","AZ",0,0
"LANDSLIDE","GA",0,0
"LANDSLIDE","GU",0,0
"LANDSLIDE","ID",0,0
"LANDSLIDE","IL",0,0
"LANDSLIDE","KY",0,0
"LANDSLIDE","MA",0,0
"LANDSLIDE","MT",0,2
"LANDSLIDE","NM",0,0
"LANDSLIDE","NV",0,0
"LANDSLIDE","NY",0,0
"LANDSLIDE","OH",0,0
"LANDSLIDE","OR",0,5
"LANDSLIDE","PA",0,0
"LANDSLIDE","SC",0,0
"LANDSLIDE","TX",0,0
"LANDSLIDE","UT",0,0
"LANDSLIDE","WV",0,0
"LANDSLIDE","WY",0,0
"LANDSLIDE/URBAN FLOOD","PR",0,0
"LANDSLIDES","AK",0,0
"Landslump","ME",0,0
"LANDSLUMP","NH",0,0
"LANDSPOUT","MD",0,0
"LANDSPOUT","VA",0,0
"LARGE WALL CLOUD","IA",0,0
"LATE FREEZE","MT",0,0
"LATE SEASON HAIL","MN",0,0
"LATE SEASON SNOW","AK",0,0
"Late Season Snowfall","NY",0,0
"Late Season Snowfall","PA",0,0
"LATE SNOW","NJ",0,0
"LATE SNOW","PA",0,0
"Late-season Snowfall","ME",0,0
"LIGHT FREEZING RAIN","NY",0,0
"LIGHT FREEZING RAIN","VT",0,0
"Light snow","NY",0,0
"Light Snow","NY",0,0
"Light Snow","VT",0,0
"LIGHT SNOW","GA",0,0
"LIGHT SNOW","HI",0,0
"LIGHT SNOW","ME",0,0
"LIGHT SNOW","NH",0,0
"LIGHT SNOW","NJ",0,0
"LIGHT SNOW","NY",0,0
"LIGHT SNOW","PA",0,0
"LIGHT SNOW AND SLEET","DE",0,0
"LIGHT SNOW AND SLEET","MD",0,0
"Light Snow/Flurries","DE",0,0
"Light Snow/Flurries","NJ",0,0
"Light Snow/Flurries","PA",0,0
"LIGHT SNOW/FREEZING PRECIP","GA",0,0
"Light Snowfall","VT",0,0
"LIGHTING","AL",0,0
"LIGHTING","OK",0,0
"LIGHTING","VA",0,0
"LIGHTNING","AK",0,3
"LIGHTNING","DC",0,12
"LIGHTNING","HI",0,4
"LIGHTNING  WAUSEON","OH",0,0
"LIGHTNING AND HEAVY RAIN","AL",0,0
"LIGHTNING AND THUNDERSTORM WIN","FL",0,1
"LIGHTNING AND WINDS","NM",0,0
"LIGHTNING DAMAGE","NM",0,0
"LIGHTNING FIRE","MI",0,0
"LIGHTNING INJURY","FL",0,1
"LIGHTNING THUNDERSTORM WINDS","FL",0,0
"LIGHTNING THUNDERSTORM WINDSS","CO",0,0
"LIGHTNING/HEAVY RAIN","AL",0,0
"LIGNTNING","ID",0,0
"LOCAL FLASH FLOOD","NH",0,0
"LOCAL FLOOD","CA",0,0
"LOCALLY HEAVY RAIN","TX",0,0
"LOW TEMPERATURE RECORD","AK",0,0
"LOW WIND CHILL","MN",0,0
"MAJOR FLOOD","IA",0,0
"MARINE HAIL","AM",0,0
"MARINE HAIL","AN",0,0
"MARINE HAIL","GM",0,0
"MARINE HAIL","LC",0,0
"MARINE HAIL","LE",0,0
"MARINE HAIL","LH",0,0
"MARINE HAIL","LM",0,0
"MARINE HAIL","LO",0,0
"MARINE HAIL","LS",0,0
"MARINE HAIL","SL",0,0
"MARINE HIGH WIND","AM",0,0
"MARINE HIGH WIND","GM",0,0
"MARINE HIGH WIND","LM",0,0
"MARINE HIGH WIND","LS",0,0
"MARINE HIGH WIND","PK",0,0
"MARINE HIGH WIND","PZ",0,0
"MARINE STRONG WIND","GM",0,0
"MARINE THUNDERSTORM WIND","LC",0,0
"MARINE THUNDERSTORM WIND","LE",0,0
"MARINE THUNDERSTORM WIND","LH",0,0
"MARINE THUNDERSTORM WIND","LO",0,0
"MARINE THUNDERSTORM WIND","LS",0,0
"MARINE THUNDERSTORM WIND","PK",0,0
"MARINE THUNDERSTORM WIND","PZ",0,0
"MARINE THUNDERSTORM WIND","XX",0,0
"MARINE TSTM WIND","GM",0,0
"MARINE TSTM WIND","LC",0,0
"MARINE TSTM WIND","LE",0,0
"MARINE TSTM WIND","LH",0,0
"MARINE TSTM WIND","LM",0,0
"MARINE TSTM WIND","LO",0,0
"MARINE TSTM WIND","LS",0,0
"MARINE TSTM WIND","PH",0,0
"MARINE TSTM WIND","PK",0,0
"MARINE TSTM WIND","PZ",0,0
"MARINE TSTM WIND","SL",0,0
"Metro Storm, May 26","OK",0,0
"Microburst","OR",0,0
"MICROBURST","CA",0,0
"MICROBURST","MT",0,0
"MICROBURST","NJ",0,0
"MICROBURST","PA",0,0
"MICROBURST WINDS","CO",0,0
"Mild and Dry Pattern","WV",0,0
"MILD PATTERN","WV",0,0
"MILD/DRY PATTERN","WV",0,0
"MINOR FLOOD","ME",0,0
"Minor Flooding","AK",0,0
"MINOR FLOODING","FL",0,0
"MIXED PRECIP","CT",0,0
"MIXED PRECIP","NJ",0,0
"Mixed Precipitation","NY",0,0
"Mixed Precipitation","VT",0,0
"MIXED PRECIPITATION","ME",0,0
"MIXED PRECIPITATION","NH",0,0
"MIXED PRECIPITATION","NY",0,0
"MIXED PRECIPITATION","VT",0,0
"MODERATE SNOW","ME",0,0
"MODERATE SNOWFALL","ME",0,0
"MODERATE SNOWFALL","NH",0,0
"MONTHLY PRECIPITATION","KY",0,0
"MONTHLY PRECIPITATION","OH",0,0
"MONTHLY PRECIPITATION","VA",0,0
"MONTHLY PRECIPITATION","WV",0,0
"Monthly Rainfall","WV",0,0
"MONTHLY RAINFALL","KY",0,0
"MONTHLY RAINFALL","OH",0,0
"MONTHLY RAINFALL","VA",0,0
"MONTHLY RAINFALL","WV",0,0
"Monthly Snowfall","WV",0,0
"MONTHLY SNOWFALL","WV",0,0
"MONTHLY TEMPERATURE","KY",0,0
"MONTHLY TEMPERATURE","OH",0,0
"MONTHLY TEMPERATURE","VA",0,0
"MONTHLY TEMPERATURE","WV",0,0
"Mountain Snows","VT",0,0
"MUD SLIDE","CA",0,0
"MUD SLIDE","ID",0,0
"MUD SLIDE","IL",0,0
"MUD SLIDE","NY",0,0
"MUD SLIDES","IL",0,0
"MUD SLIDES URBAN FLOODING","MT",0,0
"MUD/ROCK SLIDE","SC",0,0
"Mudslide","MN",0,0
"Mudslide","NH",0,0
"Mudslide","OR",0,2
"MUDSLIDE","ID",0,0
"MUDSLIDE","NC",0,0
"MUDSLIDE","NJ",0,0
"MUDSLIDE","NY",0,0
"MUDSLIDE","WA",0,0
"MUDSLIDE/LANDSLIDE","PR",0,0
"Mudslides","NC",0,0
"Mudslides","WA",0,0
"MUDSLIDES","CA",0,0
"MUDSLIDES","ID",0,0
"MUDSLIDES","PR",0,0
"MUDSLIDES","VA",0,0
"NEAR RECORD SNOW","VT",0,0
"No Severe Weather","OR",0,0
"NON SEVERE HAIL","IA",0,0
"NON SEVERE HAIL","IL",0,0
"NON TSTM WIND","NJ",0,1
"NON TSTM WIND","NY",0,0
"NON-SEVERE WIND DAMAGE","IA",0,7
"NON-TSTM WIND","NE",0,0
"NONE","AK",0,0
"NORMAL PRECIPITATION","DE",0,0
"NORMAL PRECIPITATION","NJ",0,0
"NORMAL PRECIPITATION","PA",0,0
"NORTHERN LIGHTS","WV",0,0
"Other","AK",0,0
"Other","NC",0,0
"Other","SC",0,0
"Other","WI",0,0
"OTHER","CA",0,0
"OTHER","KS",0,0
"OTHER","NM",0,4
"OTHER","NV",0,0
"OTHER","OH",0,0
"OTHER","WI",0,0
"PATCHY DENSE FOG","NC",0,0
"PATCHY DENSE FOG","SC",0,0
"PATCHY ICE","NC",0,0
"Prolong Cold","KY",0,0
"Prolong Cold","OH",0,0
"Prolong Cold","VA",0,0
"Prolong Cold","WV",0,0
"PROLONG COLD","KY",0,0
"PROLONG COLD","OH",0,0
"PROLONG COLD","VA",0,0
"PROLONG COLD","WV",0,0
"PROLONG COLD/SNOW","WV",0,0
"PROLONG WARMTH","KY",0,0
"PROLONG WARMTH","OH",0,0
"PROLONG WARMTH","VA",0,0
"PROLONG WARMTH","WV",0,0
"PROLONGED RAIN","DE",0,0
"PROLONGED RAIN","MD",0,0
"PROLONGED RAIN","NJ",0,0
"PROLONGED RAIN","PA",0,0
"RAIN","CA",0,0
"RAIN","MD",0,0
"RAIN","MI",0,0
"RAIN","PR",0,0
"RAIN","SD",0,0
"RAIN","WA",0,0
"RAIN","WV",0,0
"RAIN (HEAVY)","KS",0,0
"RAIN AND WIND","NJ",0,0
"Rain Damage","ID",0,0
"RAIN/SNOW","DC",0,0
"RAINSTORM","CA",0,0
"RECORD  COLD","MA",0,0
"Record Cold","KY",0,0
"Record Cold","OH",0,0
"Record Cold","WV",0,0
"RECORD COLD","AK",0,0
"RECORD COLD","AL",0,0
"RECORD COLD","CT",0,0
"RECORD COLD","GA",0,0
"RECORD COLD","IA",0,0
"RECORD COLD","IL",0,0
"RECORD COLD","KY",0,0
"RECORD COLD","MA",0,0
"RECORD COLD","MI",0,0
"RECORD COLD","MO",0,0
"RECORD COLD","NY",0,0
"RECORD COLD","OH",0,0
"RECORD COLD","PA",0,0
"RECORD COLD","RI",0,0
"RECORD COLD","VA",0,0
"RECORD COLD","VT",0,0
"RECORD COLD","WI",0,0
"RECORD COLD","WV",0,0
"RECORD COLD AND HIGH WIND","AK",0,0
"RECORD COLD/FROST","OH",0,0
"RECORD COLD/FROST","PA",0,0
"RECORD COOL","AR",0,0
"RECORD COOL","OK",0,0
"Record dry month","AK",0,0
"RECORD DRYNESS","MA",0,0
"RECORD DRYNESS","ME",0,0
"Record Heat","WV",0,0
"RECORD HEAT","AR",0,0
"RECORD HEAT","CT",0,0
"RECORD HEAT","KY",0,0
"RECORD HEAT","MI",0,0
"RECORD HEAT","NM",0,0
"RECORD HEAT","NY",0,50
"RECORD HEAT","OH",0,0
"RECORD HEAT","OK",0,0
"RECORD HEAT","PR",0,0
"RECORD HEAT","RI",0,0
"RECORD HEAT","VA",0,0
"RECORD HEAT","VT",0,0
"RECORD HEAT","WI",0,0
"RECORD HEAT","WV",0,0
"RECORD HEAT WAVE","NM",0,0
"Record High","NY",0,0
"RECORD HIGH","AK",0,0
"RECORD HIGH TEMPERATURE","AK",0,0
"RECORD HIGH TEMPERATURES","AK",0,0
"RECORD LOW","AK",0,0
"RECORD LOW","HI",0,0
"RECORD LOW RAINFALL","HI",0,0
"RECORD LOW RAINFALL","NY",0,0
"Record May Snow","NY",0,0
"RECORD PRECIPITATION","WI",0,0
"RECORD RAINFALL","AK",0,0
"RECORD RAINFALL","NY",0,0
"RECORD RAINFALL","RI",0,0
"RECORD RAINFALL","WI",0,0
"RECORD SNOW","IA",0,0
"RECORD SNOW","IL",0,0
"RECORD SNOW","NY",0,0
"RECORD SNOW","PA",0,0
"RECORD SNOW","VT",0,0
"RECORD SNOW/COLD","PA",0,0
"RECORD SNOWFALL","AK",0,0
"RECORD SNOWFALL","NH",0,0
"RECORD SNOWFALL","PA",0,0
"RECORD SNOWFALL","WI",0,0
"RECORD SNOWFALL","WV",0,0
"Record temperature","NY",0,0
"Record temperature","VT",0,0
"RECORD TEMPERATURE","VT",0,0
"Record Temperatures","VT",0,0
"RECORD TEMPERATURES","NM",0,0
"RECORD WARM","OK",0,0
"RECORD WARM TEMPS.","MA",0,0
"Record Warmth","KY",0,0
"Record Warmth","OH",0,0
"Record Warmth","VA",0,0
"Record Warmth","WV",0,0
"RECORD WARMTH","AK",0,0
"RECORD WARMTH","AR",0,0
"RECORD WARMTH","CA",0,0
"RECORD WARMTH","CT",0,0
"RECORD WARMTH","KY",0,0
"RECORD WARMTH","MA",0,0
"RECORD WARMTH","ME",0,0
"RECORD WARMTH","MI",0,0
"RECORD WARMTH","NH",0,0
"RECORD WARMTH","NJ",0,0
"RECORD WARMTH","NY",0,0
"RECORD WARMTH","OH",0,0
"RECORD WARMTH","OK",0,0
"RECORD WARMTH","PA",0,0
"RECORD WARMTH","RI",0,0
"RECORD WARMTH","VA",0,0
"RECORD WARMTH","VT",0,0
"RECORD WARMTH","WI",0,0
"RECORD WARMTH","WV",0,0
"Record Winter Snow","NY",0,0
"Record Winter Snow","PA",0,0
"RECORD/EXCESSIVE HEAT","NJ",0,0
"RECORD/EXCESSIVE RAINFALL","PA",0,0
"RED FLAG CRITERIA","CA",0,0
"RED FLAG FIRE WX","CA",0,0
"REMNANTS OF FLOYD","ME",0,0
"REMNANTS OF FLOYD","NH",0,0
"RIP CURRENT","MN",0,2
"RIP CURRENT","RI",0,1
"RIP CURRENTS","AS",0,1
"RIP CURRENTS HEAVY SURF","DE",0,0
"RIVER AND STREAM FLOOD","ME",0,0
"RIVER AND STREAM FLOOD","NH",0,0
"RIVER FLOOD","AK",0,0
"RIVER FLOOD","AR",0,0
"RIVER FLOOD","FL",0,0
"RIVER FLOOD","IL",0,1
"RIVER FLOOD","IN",0,0
"RIVER FLOOD","KS",0,0
"RIVER FLOOD","KY",0,0
"RIVER FLOOD","ME",0,0
"RIVER FLOOD","MI",0,0
"RIVER FLOOD","NH",0,0
"RIVER FLOOD","NJ",0,0
"RIVER FLOOD","PR",0,0
"RIVER FLOOD","WA",0,0
"RIVER FLOOD","WV",0,1
"River Flooding","DC",0,0
"River Flooding","MD",0,0
"River Flooding","VA",0,1
"River Flooding","WV",0,0
"RIVER FLOODING","MD",0,0
"RIVER FLOODING","OK",0,0
"RIVER FLOODING","PR",0,0
"RIVER FLOODING","SD",0,0
"RIVER FLOODING","WV",0,0
"ROCK SLIDE","NC",0,0
"ROCK SLIDE","VA",0,0
"ROGUE WAVE","HI",0,2
"ROTATING WALL CLOUD","IA",0,0
"ROUGH SURF","DE",0,0
"ROUGH SURF","FL",0,0
"RURAL FLOOD","IL",0,0
"RURAL FLOOD","MO",0,0
"Saharan Dust","PR",0,0
"SAHARAN DUST","PR",0,0
"SAHARAN DUST","VI",0,0
"Seasonal Snowfall","WV",0,0
"SEICHE","AK",0,0
"SEICHE","FL",0,0
"SEICHE","IL",0,0
"SEICHE","MI",0,0
"SEICHE","NY",0,0
"SEICHE","OH",0,0
"SEICHE","PR",0,0
"SEICHE","WI",0,0
"SEVERE COLD","IL",0,0
"SEVERE THUNDERSTORM","CA",0,0
"SEVERE THUNDERSTORM","TX",0,0
"SEVERE THUNDERSTORM WINDS","CA",0,0
"SEVERE THUNDERSTORMS","CA",0,0
"SEVERE THUNDERSTORMS","TX",0,0
"SEVERE TURBULENCE","AK",0,0
"SLEET","AL",0,0
"SLEET","FL",0,0
"SLEET","GA",0,0
"SLEET","IA",0,0
"SLEET","IL",0,0
"SLEET","KS",0,0
"SLEET","KY",0,0
"SLEET","ME",0,0
"SLEET","MI",0,0
"SLEET","MO",0,0
"SLEET","MS",0,0
"SLEET","NM",0,0
"SLEET","OH",0,0
"SLEET","OR",0,0
"SLEET","TN",0,0
"SLEET","TX",0,0
"SLEET & FREEZING RAIN","SC",0,0
"SLEET STORM","GA",0,0
"SLEET STORM","IL",0,0
"SLEET STORM","ME",0,0
"SLEET STORM","MI",0,0
"SLEET STORM","NC",0,0
"SLEET STORM","SC",0,0
"SLEET STORM","TX",0,0
"SLEET/FREEZING RAIN","DE",0,0
"SLEET/FREEZING RAIN","MD",0,0
"SLEET/ICE STORM","IN",0,0
"SLEET/RAIN/SNOW","DE",0,0
"SLEET/SNOW","VA",0,0
"small hail","NY",0,0
"small hail","VT",0,0
"Small Hail","VT",0,0
"SMALL HAIL","CA",0,10
"SMALL HAIL","CO",0,0
"SMALL HAIL","GA",0,0
"SMALL HAIL","HI",0,0
"SMALL HAIL","MA",0,0
"SMALL HAIL","NC",0,0
"SMALL HAIL","NH",0,0
"SMALL HAIL","NM",0,0
"SMALL HAIL","NY",0,0
"SMALL HAIL","VT",0,0
"SMALL STREAM","PR",0,0
"SMALL STREAM AND","IL",0,0
"SMALL STREAM AND URBAN FLOOD","IL",0,0
"SMALL STREAM AND URBAN FLOOD","IN",0,0
"SMALL STREAM AND URBAN FLOODIN","IL",0,0
"SMALL STREAM FLOOD","KS",0,0
"SMALL STREAM FLOOD","MO",0,0
"SMALL STREAM FLOOD","PA",0,0
"SMALL STREAM FLOODING","ID",0,0
"SMALL STREAM FLOODING","LA",0,0
"SMALL STREAM FLOODING","PA",0,0
"SMALL STREAM URBAN FLOOD","CO",0,0
"SMALL STREAM/URBAN FLOOD","IL",0,0
"SMALL STREAM/URBAN FLOOD","IN",0,0
"SMALL STREAM/URBAN FLOOD","PR",0,0
"Sml Stream Fld","WI",0,0
"SMOKE","CT",0,0
"SMOKE","DE",0,0
"SMOKE","FL",0,0
"SMOKE","MA",0,0
"SMOKE","MD",0,0
"SMOKE","NJ",0,0
"SMOKE","NY",0,0
"SMOKE","PA",0,0
"SMOKE","VT",0,0
"Snow","CA",0,0
"Snow","DE",0,0
"Snow","GA",0,0
"Snow","KY",0,0
"Snow","MD",0,0
"Snow","MO",0,0
"Snow","NC",0,0
"Snow","OK",0,0
"Snow","TX",0,0
"Snow","VA",0,0
"Snow","WI",0,2
"Snow","WV",0,0
"SNOW","AL",0,0
"SNOW","CO",0,0
"SNOW","DC",0,0
"SNOW","DE",0,0
